tournament,date,series,court,surface,round,best of,player_1,player_2,winner,rank_1,rank_2,pts_1,pts_2,odd_1,odd_2,score
Australian Open,1/20/2020,Grand Slam,Outdoor,Hard,1st Round,5,Harris A.,Berrettini M.,Berrettini M.,162,8,316,2870,7,1.1,3-6 1-6 3-6
Australian Open,1/20/2020,Grand Slam,Outdoor,Hard,1st Round,5,Berankis R.,Carballes Baena R.,Berankis R.,69,83,804,664,1.66,2.2,6-4 6-2 6-2
Australian Open,1/20/2020,Grand Slam,Outdoor,Hard,1st Round,5,Mcdonald M.,Evans D.,Evans D.,129,32,419,1349,5,1.16,6-3 6-4 1-6 2-6 3-6
Australian Open,1/20/2020,Grand Slam,Outdoor,Hard,1st Round,5,Nishioka Y.,Djere L.,Nishioka Y.,71,40,797,1185,1.57,2.37,6-4 3-6 6-2 7-6
Australian Open,1/20/2020,Grand Slam,Outdoor,Hard,1st Round,5,Smith J.P.,Pella G.,Pella G.,308,25,130,1585,4,1.25,3-6 5-7 4-6
Australian Open,1/20/2020,Grand Slam,Outdoor,Hard,1st Round,5,Querrey S.,Coric B.,Querrey S.,45,28,1100,1490,2.2,1.66,6-3 6-4 6-4
Australian Open,1/20/2020,Grand Slam,Outdoor,Hard,1st Round,5,Safwat M.,Barrere G.,Barrere G.,173,84,291,649,2.75,1.44,7-6 6-7 4-6 6-7
Australian Open,1/20/2020,Grand Slam,Outdoor,Hard,1st Round,5,Fucsovics M.,Shapovalov D.,Fucsovics M.,67,13,827,2200,5,1.16,6-3 6-7 6-1 7-6
Australian Open,1/20/2020,Grand Slam,Outdoor,Hard,1st Round,5,Johnson S.,Federer R.,Federer R.,75,3,720,6590,15,1.03,3-6 2-6 2-6
Australian Open,1/20/2020,Grand Slam,Outdoor,Hard,1st Round,5,Dimitrov G.,Londero J.I.,Dimitrov G.,20,52,1772,1017,1.2,4.5,4-6 6-2 6-0 6-4
Australian Open,1/20/2020,Grand Slam,Outdoor,Hard,1st Round,5,Caruso S.,Tsitsipas S.,Tsitsipas S.,95,6,586,5375,19,1.02,0-6 2-6 3-6
Australian Open,1/20/2020,Grand Slam,Outdoor,Hard,1st Round,5,Kohlschreiber P.,Giron M.,Kohlschreiber P.,79,107,700,521,1.28,3.75,7-5 6-1 6-2
Australian Open,1/20/2020,Grand Slam,Outdoor,Hard,1st Round,5,Struff J.L.,Djokovic N.,Djokovic N.,37,2,1270,9720,23,1.01,6-7 2-6 6-2 1-6
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Cilic M.,Moutet C.,Cilic M.,39,70,1205,800,1.5,2.62,6-3 6-2 6-4
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Gombos N.,Davidovich Fokina A.,Davidovich Fokina A.,113,88,498,627,2.1,1.72,6-4 4-6 6-2 3-6 2-6
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Hurkacz H.,Novak D.,Hurkacz H.,31,99,1398,574,1.36,3.2,6-7 1-6 6-2 6-3 6-4
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Gunneswaran P.,Ito T.,Ito T.,123,146,442,362,1.57,2.37,4-6 2-6 5-7
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Millman J.,Humbert U.,Millman J.,47,43,1096,1130,2,1.8,7-6 6-3 1-6 7-5
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Stebe C.M.,Paire B.,Paire B.,154,21,340,1703,3.2,1.36,4-6 6-3 3-6 7-6 0-6
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Schwartzman D.,Harris L.,Schwartzman D.,14,72,2130,746,1.33,3.4,6-4 6-2 6-2
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Lopez F.,Bautista Agut R.,Bautista Agut R.,57,9,933,2630,6,1.12,2-6 2-6 5-7
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Fognini F.,Opelka R.,Fognini F.,12,38,2310,1227,2,1.8,3-6 6-7 6-4 6-3 7-6
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Purcell M.,Sinner J.,Sinner J.,216,82,221,671,3.4,1.33,6-7 2-6 4-6
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Lajovic D.,Edmund K.,Lajovic D.,27,65,1516,845,2.5,1.53,7-6 6-3 7-6
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Kukushkin M.,Polmans M.,Polmans M.,68,133,816,411,1.4,3,4-6 3-6 6-4 7-6 4-6
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Raonic M.,Giustino L.,Raonic M.,35,150,1305,347,1.1,7,6-2 6-1 6-3
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Mayer L.,Paul T.,Paul T.,101,80,564,696,3.4,1.33,6-4 4-6 4-6 4-6
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Khachanov K.,Vilella Martinez M.,Khachanov K.,17,196,1995,254,1.05,11,4-6 6-4 7-6 6-3
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Mannarino A.,Thiem D.,Thiem D.,44,5,1111,5890,6,1.12,3-6 5-7 2-6
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Garin C.,Travaglia S.,Garin C.,36,74,1285,730,1.72,2.1,6-4 6-3 6-4
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Trungelliti M.,Sandgren T.,Sandgren T.,202,100,238,573,2.5,1.53,1-6 4-6 5-7
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Wawrinka S.,Dzumhur D.,Wawrinka S.,15,92,2045,594,1.14,5.5,7-5 6-7 6-4 6-4
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Auger-Aliassime F.,Gulbis E.,Gulbis E.,22,256,1701,179,1.22,4.33,5-7 6-4 6-7 4-6
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Krajinovic F.,Halys Q.,Krajinovic F.,41,215,1158,222,1.25,4,7-6 7-6 3-6 4-6 7-5
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Bublik A.,Thompson J.,Thompson J.,56,66,948,843,1.9,1.9,4-6 3-6 2-6
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Bedene A.,Duckworth J.,Bedene A.,55,94,950,588,1.72,2.1,6-4 6-7 6-7 6-2 6-4
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Kovalik J.,Carreno Busta P.,Carreno Busta P.,139,30,379,1422,6.5,1.11,4-6 6-3 1-6 6-7
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Nadal R.,Dellien H.,Nadal R.,1,73,10235,743,1.005,29,6-2 6-3 6-0
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Uchiyama Y.,Ymer M.,Ymer M.,93,78,594,709,3.2,1.36,4-6 1-6 2-6
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Mmoh M.,Andujar P.,Mmoh M.,217,63,219,867,1.53,2.5,6-1 6-4 6-4
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Kwon S.W.,Basilashvili N.,Basilashvili N.,87,29,637,1485,2,1.8,7-6 4-6 5-7 6-3 3-6
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Verdasco F.,Donskoy E.,Verdasco F.,51,106,1050,522,1.4,3,7-5 6-2 6-1
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Ramos-Vinolas A.,Bolt A.,Bolt A.,42,140,1130,377,1.61,2.3,6-7 6-1 7-6 1-6 4-6
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Seppi A.,Kecmanovic M.,Seppi A.,85,54,646,959,2.75,1.44,6-4 6-4 7-6
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,O'Connell C.,Rublev A.,Rublev A.,115,16,481,2004,10,1.06,3-6 6-0 4-6 6-7
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Gojowczyk P.,Eubanks C.,Gojowczyk P.,120,221,463,215,1.53,2.5,7-6 6-3 4-6 6-0
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Benchetrit E.,Sugita Y.,Sugita Y.,231,91,205,608,2.75,1.44,2-6 0-6 3-6
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Herbert P.H.,Norrie C.,Herbert P.H.,64,62,865,885,1.66,2.2,7-5 3-6 3-6 7-5 6-4
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Tiafoe F.,Medvedev D.,Medvedev D.,50,4,1050,5960,9,1.07,3-6 6-4 4-6 2-6
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Kyrgios N.,Sonego L.,Kyrgios N.,26,53,1520,990,1.12,6,6-2 7-6 7-6
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Gaston H.,Munar J.,Munar J.,247,90,189,608,3.5,1.3,5-7 7-5 0-6 3-6
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Fritz T.,Griekspoor T.,Fritz T.,34,175,1335,288,1.2,4.5,6-3 6-3 6-3
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Chardy J.,Goffin D.,Goffin D.,58,11,920,2555,4.5,1.2,4-6 3-6 1-6
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Delbonis F.,Sousa J.,Delbonis F.,76,59,711,891,1.9,1.9,6-3 6-4 7-6
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Galan D.E.,Tabilo A.,Tabilo A.,186,208,269,233,1.53,2.5,6-4 3-6 4-6 7-6 4-6
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Zverev A.,Cecchinato M.,Zverev A.,7,77,3345,710,1.08,8,6-4 7-6 6-3
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Monteiro T.,Isner J.,Isner J.,86,19,640,1860,3.5,1.3,7-6 6-7 6-7 6-7
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Martinez P.,Koepfer D.,Martinez P.,168,89,300,609,2.5,1.53,6-3 6-4 7-5
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Ivashka I.,Anderson K.,Anderson K.,149,122,354,445,4.33,1.22,4-6 6-2 6-4 4-6 6-7
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Karlovic I.,Pospisil V.,Karlovic I.,124,138,436,392,4,1.25,7-6 6-4 7-5
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Ruud C.,Gerasimov E.,Gerasimov E.,48,98,1079,575,1.4,3,3-6 6-7 6-1 6-4 6-7
Australian Open,1/21/2020,Grand Slam,Outdoor,Hard,1st Round,5,Simon G.,Cuevas P.,Simon G.,61,46,890,1097,1.44,2.75,6-1 6-3 6-3
Australian Open,1/22/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Berankis R.,Querrey S.,Querrey S.,69,45,804,1100,3.4,1.33,6-7 6-4 4-6 4-6
Australian Open,1/22/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Pella G.,Barrere G.,Pella G.,25,84,1585,649,1.4,3,6-1 6-4 3-6 6-3
Australian Open,1/22/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Evans D.,Nishioka Y.,Nishioka Y.,32,71,1349,797,1.61,2.3,4-6 3-6 4-6
Australian Open,1/22/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Cilic M.,Paire B.,Cilic M.,39,21,1205,1703,1.4,3,6-2 6-7 3-6 6-1 7-6
Australian Open,1/22/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Davidovich Fokina A.,Schwartzman D.,Schwartzman D.,88,14,627,2130,6,1.12,1-6 4-6 2-6
Australian Open,1/22/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Fucsovics M.,Sinner J.,Fucsovics M.,67,82,827,671,2.1,1.72,6-4 6-4 6-3
Australian Open,1/22/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Ito T.,Djokovic N.,Djokovic N.,146,2,362,9720,29,1.005,1-6 4-6 2-6
Australian Open,1/22/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Sandgren T.,Berrettini M.,Sandgren T.,100,8,573,2870,4.5,1.2,7-6 6-4 4-6 2-6 7-5
Australian Open,1/22/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Dimitrov G.,Paul T.,Paul T.,20,80,1772,696,1.36,3.2,4-6 6-7 6-3 7-6 6-7
Australian Open,1/22/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Raonic M.,Garin C.,Raonic M.,35,36,1305,1285,1.28,3.75,6-3 6-4 6-2
Australian Open,1/22/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Polmans M.,Lajovic D.,Lajovic D.,133,27,411,1516,4.33,1.22,2-6 4-6 3-6
Australian Open,1/22/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Millman J.,Hurkacz H.,Millman J.,47,31,1096,1398,2,1.8,6-4 7-5 6-3
Australian Open,1/22/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Mmoh M.,Bautista Agut R.,Bautista Agut R.,217,9,219,2630,8,1.08,7-5 2-6 4-6 1-6
Australian Open,1/22/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Fognini F.,Thompson J.,Fognini F.,12,66,2310,843,1.66,2.2,7-6 6-1 3-6 4-6 7-6
Australian Open,1/22/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Krajinovic F.,Federer R.,Federer R.,41,3,1158,6590,17,1.02,1-6 4-6 1-6
Australian Open,1/23/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Gulbis E.,Bedene A.,Gulbis E.,256,55,179,950,3,1.4,7-5 6-3 6-2
Australian Open,1/23/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Martinez P.,Medvedev D.,Medvedev D.,168,4,300,5960,21,1.01,5-7 1-6 3-6
Australian Open,1/23/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Thiem D.,Bolt A.,Thiem D.,5,140,5890,377,1.07,9,6-2 5-7 6-7 6-1 6-2
Australian Open,1/23/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Gerasimov E.,Zverev A.,Zverev A.,98,7,575,3345,4.5,1.2,6-7 4-6 5-7
Australian Open,1/23/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Popyrin A.,Munar J.,Popyrin A.,96,90,585,608,1.44,2.75,6-2 7-6 6-2
Australian Open,1/23/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Karlovic I.,Monfils G.,Monfils G.,124,10,436,2565,3.75,1.28,6-4 6-7 4-6 5-7
Australian Open,1/23/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Rublev A.,Sugita Y.,Rublev A.,16,91,2004,608,1.12,6,6-2 6-3 7-6
Australian Open,1/23/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Basilashvili N.,Verdasco F.,Verdasco F.,29,51,1485,1050,2.3,1.61,6-4 6-7 4-6 4-6
Australian Open,1/23/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Isner J.,Tabilo A.,Isner J.,19,208,1860,233,1.11,6.5,6-4 6-3 6-2
Australian Open,1/23/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Herbert P.H.,Goffin D.,Goffin D.,64,11,865,2555,5.5,1.14,1-6 4-6 6-4 6-1 3-6
Australian Open,1/23/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Khachanov K.,Ymer M.,Khachanov K.,17,78,1995,709,1.36,3.2,6-2 2-6 6-4 3-6 7-6
Australian Open,1/23/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Gojowczyk P.,Carreno Busta P.,Carreno Busta P.,120,30,463,1422,4.33,1.22,4-6 1-6 6-1 4-6
Australian Open,1/23/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Kyrgios N.,Simon G.,Kyrgios N.,26,61,1520,890,1.2,4.5,6-2 6-4 4-6 7-5
Australian Open,1/23/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Seppi A.,Wawrinka S.,Wawrinka S.,85,15,646,2045,4.33,1.22,6-4 5-7 3-6 6-3 4-6
Australian Open,1/23/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Fritz T.,Anderson K.,Fritz T.,34,122,1335,445,1.8,2,4-6 6-7 7-6 6-2 6-2
Australian Open,1/23/2020,Grand Slam,Outdoor,Hard,2nd Round,5,Delbonis F.,Nadal R.,Nadal R.,76,1,711,10235,0.967,29,3-6 6-7 1-6
Australian Open,1/24/2020,Grand Slam,Outdoor,Hard,3rd Round,5,Schwartzman D.,Lajovic D.,Schwartzman D.,14,27,2130,1516,1.36,3.2,6-2 6-3 7-6
Australian Open,1/24/2020,Grand Slam,Outdoor,Hard,3rd Round,5,Paul T.,Fucsovics M.,Fucsovics M.,80,67,696,827,2.1,1.72,1-6 1-6 4-6
Australian Open,1/24/2020,Grand Slam,Outdoor,Hard,3rd Round,5,Cilic M.,Bautista Agut R.,Cilic M.,39,9,1205,2630,3.2,1.36,6-7 6-4 6-0 5-7 6-3
Australian Open,1/24/2020,Grand Slam,Outdoor,Hard,3rd Round,5,Nishioka Y.,Djokovic N.,Djokovic N.,71,2,797,9720,23,1.01,3-6 2-6 2-6
Australian Open,1/24/2020,Grand Slam,Outdoor,Hard,3rd Round,5,Sandgren T.,Querrey S.,Sandgren T.,100,45,573,1100,2.37,1.57,6-4 6-4 6-4
Australian Open,1/24/2020,Grand Slam,Outdoor,Hard,3rd Round,5,Tsitsipas S.,Raonic M.,Raonic M.,6,35,5375,1305,1.36,3.2,5-7 4-6 6-7
Australian Open,1/24/2020,Grand Slam,Outdoor,Hard,3rd Round,5,Fognini F.,Pella G.,Fognini F.,12,25,2310,1585,2.1,1.72,7-6 6-2 6-3
Australian Open,1/24/2020,Grand Slam,Outdoor,Hard,3rd Round,5,Millman J.,Federer R.,Federer R.,47,3,1096,6590,13,1.04,6-4 6-7 4-6 6-4 6-7
Australian Open,1/25/2020,Grand Slam,Outdoor,Hard,3rd Round,5,Monfils G.,Gulbis E.,Monfils G.,10,256,2565,179,1.53,2.5,7-6 6-4 6-3
Australian Open,1/25/2020,Grand Slam,Outdoor,Hard,3rd Round,5,Fritz T.,Thiem D.,Thiem D.,34,5,1335,5890,3,1.4,2-6 4-6 7-6 4-6
Australian Open,1/25/2020,Grand Slam,Outdoor,Hard,3rd Round,5,Rublev A.,Goffin D.,Rublev A.,16,11,2004,2555,1.5,2.62,2-6 7-6 6-4 7-6
Australian Open,1/25/2020,Grand Slam,Outdoor,Hard,3rd Round,5,Carreno Busta P.,Nadal R.,Nadal R.,30,1,1422,10235,15,1.03,1-6 2-6 4-6
Australian Open,1/25/2020,Grand Slam,Outdoor,Hard,3rd Round,5,Kyrgios N.,Khachanov K.,Kyrgios N.,26,17,1520,1995,1.36,3.2,6-2 7-6 6-7 6-7 7-6
Australian Open,1/25/2020,Grand Slam,Outdoor,Hard,3rd Round,5,Verdasco F.,Zverev A.,Zverev A.,51,7,1050,3345,2.75,1.44,2-6 2-6 4-6
Australian Open,1/25/2020,Grand Slam,Outdoor,Hard,3rd Round,5,Medvedev D.,Popyrin A.,Medvedev D.,4,96,5960,585,1.1,7,6-4 6-3 6-2
Australian Open,1/26/2020,Grand Slam,Outdoor,Hard,4th Round,5,Cilic M.,Raonic M.,Raonic M.,39,35,1205,1305,2.5,1.53,4-6 3-6 5-7
Australian Open,1/26/2020,Grand Slam,Outdoor,Hard,4th Round,5,Djokovic N.,Schwartzman D.,Djokovic N.,2,14,9720,2130,1.04,13,6-3 6-4 6-4
Australian Open,1/26/2020,Grand Slam,Outdoor,Hard,4th Round,5,Fognini F.,Sandgren T.,Sandgren T.,12,100,2310,573,1.57,2.37,6-7 5-7 7-6 4-6
Australian Open,1/26/2020,Grand Slam,Outdoor,Hard,4th Round,5,Federer R.,Fucsovics M.,Federer R.,3,67,6590,827,1.14,5.5,4-6 6-1 6-2 6-2
Australian Open,1/27/2020,Grand Slam,Outdoor,Hard,4th Round,5,Monfils G.,Thiem D.,Thiem D.,10,5,2565,5890,3.5,1.3,2-6 4-6 4-6
Australian Open,1/27/2020,Grand Slam,Outdoor,Hard,4th Round,5,Wawrinka S.,Medvedev D.,Wawrinka S.,15,4,2045,5960,3.75,1.28,6-2 2-6 4-6 7-6 6-2
Australian Open,1/27/2020,Grand Slam,Outdoor,Hard,4th Round,5,Kyrgios N.,Nadal R.,Nadal R.,26,1,1520,10235,5,1.16,3-6 6-3 6-7 6-7
Australian Open,1/27/2020,Grand Slam,Outdoor,Hard,4th Round,5,Zverev A.,Rublev A.,Zverev A.,7,16,3345,2004,2,1.8,6-4 6-4 6-4
Australian Open,1/28/2020,Grand Slam,Outdoor,Hard,Quarterfinals,5,Sandgren T.,Federer R.,Federer R.,100,3,573,6590,8,1.08,3-6 6-2 6-2 6-7 3-6
Australian Open,1/28/2020,Grand Slam,Outdoor,Hard,Quarterfinals,5,Djokovic N.,Raonic M.,Djokovic N.,2,35,9720,1305,1.12,6,6-4 6-3 7-6
Australian Open,1/29/2020,Grand Slam,Outdoor,Hard,Quarterfinals,5,Wawrinka S.,Zverev A.,Zverev A.,15,7,2045,3345,2.2,1.66,6-1 3-6 4-6 2-6
Australian Open,1/29/2020,Grand Slam,Outdoor,Hard,Quarterfinals,5,Thiem D.,Nadal R.,Thiem D.,5,1,5890,10235,3.2,1.36,7-6 7-6 4-6 7-6
Australian Open,1/30/2020,Grand Slam,Outdoor,Hard,Semifinals,5,Federer R.,Djokovic N.,Djokovic N.,3,2,6590,9720,6.5,1.11,6-7 4-6 3-6
Australian Open,1/31/2020,Grand Slam,Outdoor,Hard,Semifinals,5,Thiem D.,Zverev A.,Thiem D.,5,7,5890,3345,1.5,2.62,3-6 6-4 7-6 7-6
Australian Open,2/2/2020,Grand Slam,Outdoor,Hard,The Final,5,Thiem D.,Djokovic N.,Djokovic N.,5,2,5890,9720,4,1.25,4-6 6-4 6-2 3-6 4-6
Western & Southern Financial Group Masters,8/22/2020,Masters 1000,Outdoor,Hard,1st Round,3,Auger-Aliassime F.,Basilashvili N.,Auger-Aliassime F.,20,27,1771,1395,1.28,3.5,6-4 6-1
Western & Southern Financial Group Masters,8/22/2020,Masters 1000,Outdoor,Hard,1st Round,3,Lajovic D.,Carreno Busta P.,Carreno Busta P.,23,25,1695,1500,2.75,1.4,5-7 1-6
Western & Southern Financial Group Masters,8/22/2020,Masters 1000,Outdoor,Hard,1st Round,3,Struff J.L.,De Minaur A.,Struff J.L.,34,26,1315,1485,2.37,1.53,6-2 6-4
Western & Southern Financial Group Masters,8/22/2020,Masters 1000,Outdoor,Hard,1st Round,3,Edmund K.,Anderson K.,Anderson K.,44,124,1050,445,1.44,2.62,6-7 6-4 3-6
Western & Southern Financial Group Masters,8/22/2020,Masters 1000,Outdoor,Hard,1st Round,3,Opelka R.,Norrie C.,Opelka R.,39,77,1177,712,1.66,2.1,6-3 6-4
Western & Southern Financial Group Masters,8/22/2020,Masters 1000,Outdoor,Hard,1st Round,3,Harris L.,Fritz T.,Fritz T.,97,24,616,1510,2.62,1.44,1-6 3-6
Western & Southern Financial Group Masters,8/22/2020,Masters 1000,Outdoor,Hard,1st Round,3,Krajinovic F.,Caruso S.,Krajinovic F.,32,99,1343,597,1.33,3.25,7-5 6-4
Western & Southern Financial Group Masters,8/22/2020,Masters 1000,Outdoor,Hard,1st Round,3,Tiafoe F.,Murray A.,Murray A.,81,134,700,412,2.25,1.57,6-7 6-3 1-6
Western & Southern Financial Group Masters,8/22/2020,Masters 1000,Outdoor,Hard,1st Round,3,Berankis R.,Paul T.,Berankis R.,72,57,739,894,2.05,1.7,6-7 6-4 7-5
Western & Southern Financial Group Masters,8/23/2020,Masters 1000,Outdoor,Hard,1st Round,3,Querrey S.,Raonic M.,Raonic M.,45,30,1045,1350,2.05,1.7,4-6 4-6
Western & Southern Financial Group Masters,8/23/2020,Masters 1000,Outdoor,Hard,1st Round,3,Shapovalov D.,Cilic M.,Shapovalov D.,17,37,2075,1225,1.61,2.2,6-3 6-3
Western & Southern Financial Group Masters,8/23/2020,Masters 1000,Outdoor,Hard,1st Round,3,Bublik A.,Khachanov K.,Khachanov K.,51,16,965,2120,2.75,1.4,4-6 4-6
Western & Southern Financial Group Masters,8/23/2020,Masters 1000,Outdoor,Hard,1st Round,3,Sandgren T.,Sonego L.,Sandgren T.,55,46,923,1030,1.5,2.5,6-3 7-6
Western & Southern Financial Group Masters,8/23/2020,Masters 1000,Outdoor,Hard,1st Round,3,Ruud C.,Schwartzman D.,Schwartzman D.,36,13,1279,2265,2.62,1.44,6-7 3-6
Western & Southern Financial Group Masters,8/23/2020,Masters 1000,Outdoor,Hard,1st Round,3,Giron M.,Mcdonald M.,Giron M.,101,269,577,172,1.95,1.8,7-6 7-5
Western & Southern Financial Group Masters,8/23/2020,Masters 1000,Outdoor,Hard,1st Round,3,Garin C.,Bedene A.,Bedene A.,18,61,1900,850,2.37,1.53,4-6 7-6 0-6
Western & Southern Financial Group Masters,8/23/2020,Masters 1000,Outdoor,Hard,1st Round,3,Fucsovics M.,Gombos N.,Fucsovics M.,84,109,692,522,1.28,3.5,6-3 6-4
Western & Southern Financial Group Masters,8/23/2020,Masters 1000,Outdoor,Hard,1st Round,3,Rublev A.,Evans D.,Evans D.,14,28,2234,1359,1.44,2.62,5-7 6-3 2-6
Western & Southern Financial Group Masters,8/23/2020,Masters 1000,Outdoor,Hard,1st Round,3,Dimitrov G.,Humbert U.,Dimitrov G.,19,42,1850,1111,1.9,1.8,6-3 6-4
Western & Southern Financial Group Masters,8/23/2020,Masters 1000,Outdoor,Hard,1st Round,3,Hurkacz H.,Isner J.,Isner J.,29,21,1353,1760,2.2,1.61,5-7 4-6
Western & Southern Financial Group Masters,8/23/2020,Masters 1000,Outdoor,Hard,1st Round,3,Millman J.,Mannarino A.,Millman J.,43,38,1071,1191,1.66,2.1,4-6 6-4 7-6
Western & Southern Financial Group Masters,8/23/2020,Masters 1000,Outdoor,Hard,1st Round,3,Wolf J.J.,Gasquet R.,Gasquet R.,143,50,383,985,2.25,1.57,4-6 4-6
Western & Southern Financial Group Masters,8/24/2020,Masters 1000,Outdoor,Hard,1st Round,3,Ruusuvuori E.,Korda S.,Ruusuvuori E.,100,225,584,220,1.36,3,7-6 4-6 7-5
Western & Southern Financial Group Masters,8/24/2020,Masters 1000,Outdoor,Hard,2nd Round,3,Anderson K.,Tsitsipas S.,Tsitsipas S.,124,6,445,4745,4,1.22,1-6 3-6
Western & Southern Financial Group Masters,8/24/2020,Masters 1000,Outdoor,Hard,2nd Round,3,Goffin D.,Coric B.,Goffin D.,10,33,2555,1320,1.44,2.62,7-6 6-4
Western & Southern Financial Group Masters,8/24/2020,Masters 1000,Outdoor,Hard,2nd Round,3,Fritz T.,Bedene A.,Bedene A.,24,61,1510,850,1.33,3.25,6-7 5-7
Western & Southern Financial Group Masters,8/24/2020,Masters 1000,Outdoor,Hard,2nd Round,3,Medvedev D.,Giron M.,Medvedev D.,5,101,5890,577,1.14,5.5,6-4 6-4
